"pu_hour","pu_month","pu_wday","avg_tip_amount"
2,"May","Sat",1.99652982681206
2,"Jun","Sun",1.99957201442215
2,"Jun","Mon",2.20705703678704
2,"Jun","Tue",2.03092337164751
2,"Jun","Wed",2.04034670487106
2,"Jun","Thu",2.17500695088044
2,"Jun","Fri",2.06313157504816
2,"Jun","Sat",1.99720120779577
2,"Jul","Sun",1.99386810344828
2,"Jul","Mon",1.90360939962745
2,"Jul","Tue",2.28289545043688
2,"Jul","Wed",1.85174830640959
2,"Jul","Thu",2.20235777704702
2,"Jul","Fri",2.18283339260313
2,"Jul","Sat",1.96540893410768
2,"Aug","Sun",1.95641711000515
2,"Aug","Mon",2.02701632744352
2,"Aug","Tue",1.87984413270986
2,"Aug","Wed",1.9419272603671
2,"Aug","Thu",2.35354828595318
2,"Aug","Fri",2.15349942610222
2,"Aug","Sat",1.94980878211591
2,"Sep","Sun",1.97746893617021
2,"Sep","Mon",1.89726035416362
2,"Sep","Tue",2.06587393831024
2,"Sep","Wed",1.83205985621134
2,"Sep","Thu",1.94373518068847
2,"Sep","Fri",2.05340309939437
2,"Sep","Sat",2.02134778179774
2,"Oct","Sun",2.01218886479553
2,"Oct","Mon",1.77009385265134
2,"Oct","Tue",1.79748957148275
2,"Oct","Wed",1.88789124868203
2,"Oct","Thu",1.95582749723553
2,"Oct","Fri",2.08589366612531
2,"Oct","Sat",2.03302405498282
2,"Nov","Sun",2.00698757868516
2,"Nov","Mon",1.7818830207305
2,"Nov","Tue",1.86340557989394
2,"Nov","Wed",1.92746018298882
2,"Nov","Thu",1.95100351472549
2,"Nov","Fri",1.96565012114059
2,"Nov","Sat",1.99740851144796
2,"Dec","Sun",2.05025127794543
2,"Dec","Mon",1.93286090969018
2,"Dec","Tue",2.09119357518693
2,"Dec","Wed",1.94434604105572
2,"Dec","Thu",2.1887745036044
2,"Dec","Fri",2.21968855416961
2,"Dec","Sat",2.10222741739028
3,"Jan","Sun",1.64428081438811
3,"Jan","Mon",1.47648057058534
3,"Jan","Tue",1.69229323577936
3,"Jan","Wed",1.50337583366026
3,"Jan","Thu",1.52169212690952
3,"Jan","Fri",1.6052734259533
3,"Jan","Sat",1.68052040030793
3,"Feb","Sun",1.99222659980898
3,"Feb","Mon",1.73413591779542
3,"Feb","Tue",1.96316206694069
3,"Feb","Wed",1.8997654532128
3,"Feb","Thu",1.91736412459721
3,"Feb","Fri",1.88407351321586
3,"Feb","Sat",1.89642074237819
3,"Mar","Sun",2.01433313183492
3,"Mar","Mon",1.88141054402692
3,"Mar","Tue",1.85479061479061
3,"Mar","Wed",1.7733770257388
3,"Mar","Thu",1.98727126805778
3,"Mar","Fri",1.95349538265577
3,"Mar","Sat",1.97436094224924
3,"Apr","Sun",1.97532292405962
3,"Apr","Mon",1.69804489500362
3,"Apr","Tue",2.21842246587603
3,"Apr","Wed",1.85429403202329
3,"Apr","Thu",1.98649960691824
3,"Apr","Fri",1.93181461981144
3,"Apr","Sat",1.99906519470533
3,"May","Sun",1.91260470879802
3,"May","Mon",1.89071203681279
3,"May","Tue",1.84685973700689
3,"May","Wed",1.82435952012384
3,"May","Thu",1.99020537601933
3,"May","Fri",1.92420382165605
3,"May","Sat",1.97038923439846
3,"Jun","Sun",1.95907998948988
3,"Jun","Mon",1.83432477216239
3,"Jun","Tue",1.8327597799511
3,"Jun","Wed",1.90158931401404
3,"Jun","Thu",1.98732283464567
3,"Jun","Fri",2.02496151568976
3,"Jun","Sat",1.98334802644761
3,"Jul","Sun",1.90176238842721
3,"Jul","Mon",1.90992275574113
3,"Jul","Tue",1.87211985018727
3,"Jul","Wed",1.82750829916032
3,"Jul","Thu",1.89183562574291
3,"Jul","Fri",2.00189996996095
3,"Jul","Sat",1.96884634729033
3,"Aug","Sun",1.93355587290253
3,"Aug","Mon",1.80875772357724
3,"Aug","Tue",1.812703120173
3,"Aug","Wed",1.77937794040774
3,"Aug","Thu",2.18534540791794
3,"Aug","Fri",1.97564486185432
3,"Aug","Sat",1.9268238639149
