"pu_month","pu_hour","airport","pos_dist","pos_tip","high_tip","num_trips","avg_trip_dist","avg_tip_amount","avg_fare_amount"
10,1,"Y",TRUE,TRUE,FALSE,5441,13.488270538504,4.86671200147032,39.2663738283404
11,1,"N",FALSE,FALSE,FALSE,2,0,-4.475,-2.5
11,1,"N",FALSE,TRUE,FALSE,1875,-0.0879253333333333,3.65305066666667,26.7648373333333
11,1,"N",TRUE,FALSE,FALSE,1,2.13,-3.2,-9
11,1,"N",TRUE,TRUE,FALSE,145754,2.78847270057769,1.99820039244206,11.4716890102501
11,1,"Y",FALSE,TRUE,FALSE,48,0,0.480416666666667,18.9479166666667
11,1,"Y",TRUE,TRUE,FALSE,3689,13.6818948224451,4.93575765790187,39.2648739495798
12,1,"N",FALSE,FALSE,FALSE,2,0,-0.93,-5.25
12,1,"N",FALSE,TRUE,FALSE,1919,-0.233272537780094,3.98983324648254,31.2069567483064
12,1,"N",TRUE,FALSE,FALSE,2,0.415,-1.615,-5
12,1,"N",TRUE,TRUE,FALSE,137399,2.92113152206348,2.04505680536248,11.7061090692072
12,1,"Y",FALSE,TRUE,FALSE,56,0,0.859821428571429,17.9946428571429
12,1,"Y",TRUE,TRUE,FALSE,6062,12.9081722203893,5.27376113493896,37.5718987132959
1,2,"N",FALSE,TRUE,FALSE,1248,0,3.05821314102564,22.2917548076923
1,2,"N",TRUE,FALSE,FALSE,1,0.68,-1.36,-5.5
1,2,"N",TRUE,TRUE,FALSE,106388,2.88173487611385,1.61427463623717,11.4364982892807
1,2,"Y",FALSE,TRUE,FALSE,23,0,7.59391304347826,42.4217391304348
1,2,"Y",TRUE,TRUE,FALSE,1742,13.4404707233065,4.6399196326062,39.1355683122847
2,2,"N",FALSE,FALSE,FALSE,2,0,-3.15,-13.75
2,2,"N",FALSE,TRUE,FALSE,1218,0,2.83011494252874,18.6801067323481
2,2,"N",TRUE,FALSE,FALSE,1,0.59,-1.56,-4
2,2,"N",TRUE,TRUE,FALSE,97174,2.85112252248544,1.8784020416984,11.3298896824253
2,2,"Y",FALSE,TRUE,FALSE,15,0,2.926,26.8033333333333
2,2,"Y",TRUE,TRUE,FALSE,1373,13.8252294246176,5.37622723962127,40.2135833940277
2,2,"Y",TRUE,TRUE,TRUE,1,13.61,262,37.5
3,2,"N",FALSE,FALSE,FALSE,2,0,-1.145,-4.75
3,2,"N",FALSE,TRUE,FALSE,1252,0,3.09176517571885,21.9241373801917
3,2,"N",TRUE,TRUE,FALSE,108249,2.90627008101691,1.93555109054125,11.5208116472208
3,2,"Y",FALSE,TRUE,FALSE,26,0,2.715,30.3461538461538
3,2,"Y",TRUE,TRUE,FALSE,1783,13.2926079641054,4.75785754346607,38.9131800336512
4,2,"N",FALSE,FALSE,FALSE,2,0,-1.325,-2.5
4,2,"N",FALSE,TRUE,FALSE,1239,0,2.95,20.8031557707829
4,2,"N",TRUE,FALSE,FALSE,1,0.71,-0.08,-4.5
4,2,"N",TRUE,TRUE,FALSE,94126,2.93963463867582,1.90643361026709,11.5313266260119
4,2,"Y",FALSE,TRUE,FALSE,28,0,1.48892857142857,19.6503571428571
4,2,"Y",TRUE,TRUE,FALSE,2933,14.1998261166042,5.25116604159564,41.0007875894988
5,2,"N",FALSE,TRUE,FALSE,1179,0,3.88600508905852,26.0725699745547
5,2,"N",TRUE,FALSE,FALSE,1,0.98,-1.76,-5
5,2,"N",TRUE,TRUE,FALSE,93771,2.9572883940664,1.86700195156285,11.5559662368963
5,2,"Y",FALSE,TRUE,FALSE,46,0,1.81391304347826,20.9530434782609
5,2,"Y",TRUE,TRUE,FALSE,3479,13.5660505892498,5.06816613969531,39.4151020408163
6,2,"N",FALSE,TRUE,FALSE,1411,0,3.32069454287739,25.8679021970234
6,2,"N",TRUE,FALSE,FALSE,1,0.26,-0.86,-3
6,2,"N",TRUE,TRUE,FALSE,108026,2.95799353859256,1.91623322163183,11.6785478495918
6,2,"N",TRUE,TRUE,TRUE,1,4.9,300.06,18.5
6,2,"Y",FALSE,TRUE,FALSE,35,0,0.998857142857143,19.8002857142857
6,2,"Y",TRUE,TRUE,FALSE,3545,13.3010296191819,5.05802256699577,39.0214217207334
7,2,"N",FALSE,FALSE,FALSE,1,0,-1.36,-3
7,2,"N",FALSE,TRUE,FALSE,1295,0,3.4463861003861,29.1243011583012
7,2,"N",TRUE,FALSE,FALSE,2,1.205,-1.73,-7.25
7,2,"N",TRUE,TRUE,FALSE,82331,2.98876474232063,1.85200167616086,11.6504172183017
7,2,"N",TRUE,TRUE,TRUE,1,56.2,284.92,286.5
7,2,"Y",FALSE,TRUE,FALSE,40,0,3.08225,40.795
7,2,"Y",TRUE,TRUE,FALSE,4095,13.7187936507937,5.18235653235653,39.8661074481074
8,2,"N",FALSE,FALSE,FALSE,3,0,-6.71,-31.0333333333333
8,2,"N",FALSE,TRUE,FALSE,1455,0,3.95036426116838,32.5712714776632
8,2,"N",TRUE,FALSE,FALSE,1,6.87,-55.15,-23
8,2,"N",TRUE,TRUE,FALSE,85680,2.98574929971989,1.85755800653595,11.6669659197012
