"pu_month","pu_hour","airport","num_trips_airport","avg_trip_dist","avg_tip_amount","avg_fare_amount"
4,9,"Y",23159,11.9608588453733,6.2285042532061,37.8684887084935
5,9,"N",326102,1.94224463511417,1.86323598138006,10.8162324671422
5,9,"Y",25431,11.9180177735834,6.28461051472612,38.3950178915497
6,9,"N",298056,1.95427849129023,1.85128962342647,10.920356644389
6,9,"Y",23594,11.8564435873527,6.1800661185047,38.1335068237688
7,9,"N",275634,2.01299502238476,1.81946686548104,11.074427429127
7,9,"Y",21923,11.8538242941203,5.96702914747069,38.038302239657
8,9,"N",264136,2.0395104415907,1.80983186691704,10.9858519853409
8,9,"Y",21433,11.6580618672141,5.6903597256567,37.1840535622638
9,9,"N",275274,1.99594088072248,1.8912896241563,11.3308235794154
9,9,"Y",21735,11.9048097538532,6.22615458937198,38.9230816655164
10,9,"N",318570,1.95808437705999,1.88158922685752,11.0111509872242
10,9,"Y",22869,11.7485268267086,6.13619790983427,37.9677108749836
11,9,"N",290979,1.92377958546837,1.87153619333354,10.9279803009839
11,9,"Y",20655,11.8974640522876,6.11864294359719,38.1682929072864
12,9,"N",288414,1.94487174686388,1.80681405895692,10.6324445068547
12,9,"Y",22340,11.9355102954342,5.96370814682184,38.116996866607
1,10,"N",337230,1.88312042226374,1.41957100495211,10.3253230436201
1,10,"Y",22597,12.1351104128867,6.13659689339293,37.7457295216179
2,10,"N",306656,1.93360557106334,1.71552332255035,10.3932193076281
2,10,"Y",21658,11.9834310647336,6.61232062055591,37.7195567457752
3,10,"N",334628,1.95807640125752,1.74262270341992,10.6168747683995
3,10,"Y",27378,11.9873500620937,6.24028818759588,37.7253013368398
4,10,"N",322562,1.96256046899511,1.76657473601974,10.7251274793683
4,10,"Y",26144,12.0870031364749,5.94812041003672,37.7932500764994
5,10,"N",324379,1.93704339676736,1.80390999417348,10.8313089318359
5,10,"Y",28984,11.8777004554237,6.0167161192382,37.7108963566105
6,10,"N",301427,2.10075351577662,1.79297199653647,12.0882763322463
6,10,"Y",25619,11.9007299270073,5.94158515164526,37.9318142784652
7,10,"N",273883,2.02378982996389,1.72320403237879,11.0096155292588
7,10,"Y",24240,12.0337211221122,5.60521163366337,38.2570082508251
8,10,"N",260771,2.04051481951597,1.71283252355515,10.9537006415591
8,10,"Y",25266,11.7909593920684,5.33190888941661,37.2741886329455
9,10,"N",278988,1.9867746999871,1.81916483863105,11.2227889371586
9,10,"Y",25226,11.8127772932688,5.83685285023389,43.7772013002458
10,10,"N",319572,1.94669795851952,1.81047782659307,11.0139958444419
10,10,"Y",26295,11.7656421372885,5.86060467769538,37.4134306902453
11,10,"N",298853,1.92138395799942,1.8020911284143,10.870793433561
